volatility_bucket,trades,wins,losses,winrate,profit,roi,profit_factor
Muy Baja,227,103,124,45.37,-28.63,-12.61,0.76
Baja,223,96,127,43.05,-42.5,-19.06,0.66
Media,226,112,114,49.56,-16.6,-7.35,0.85
Alta,223,118,105,52.91,-3.55,-1.59,0.97
Muy Alta,225,121,104,53.78,0.85,0.38,1.01
