rsi_bucket,trades,wins,losses,winrate,profit,roi,profit_factor
RSI 40-60,502,248,254,49.4,-37.85,-7.54,0.85
RSI 60-75,9,0,9,0.0,-9.0,-100.0,0.0
RSI < 40,522,264,258,50.57,-23.26,-4.46,0.91
RSI > 75,91,38,53,41.76,-20.32,-22.33,0.62
