trade_date,symbol,direction,strategy_version,result,profit,is_win,rsi,volatility_pct,ema_distance,call_score,put_score,max_score
2026-06-06,EURUSD-OTC,put,v4_ema20,win,0.8600000000000001,1,58.12677276346093,0.051685796367986224,-0.006362222782649504,25,75,75
2026-06-06,GBPUSD-OTC,call,v3_cooldown,win,0.8600000000000001,1,28.29517405976311,0.03820847361280446,-0.117881369634528,90,50,90
2026-06-06,EURUSD-OTC,put,v4_ema20,win,0.8600000000000001,1,57.18634700484156,0.05192441141104993,-0.013278264935543028,25,75,75
2026-06-06,EURUSD-OTC,put,v3_cooldown,win,0.8600000000000001,1,58.0577534427626,0.05206124192138486,-0.006750723806134188,25,75,75
2026-06-06,EURUSD-OTC,put,v4_ema20,loss,-1.0,0,58.298331392086496,0.05206033783316766,-0.005082319458032797,25,75,75
2026-06-06,EURUSD-OTC,put,v3_cooldown,win,0.8600000000000001,1,56.74709996579106,0.05167810546283326,-0.016615045352707525,25,75,75
2026-06-06,EURUSD-OTC,put,v3_cooldown,win,0.8600000000000001,1,56.97628947539381,0.051070016123843355,-0.014704237261458383,25,75,75
2026-06-06,GBPUSD-OTC,call,v4_ema20,win,0.8600000000000001,1,28.29517405976311,0.03820847361280446,-0.117881369634528,90,50,90
2026-06-07,GBPUSD-OTC,call,v3_cooldown,win,0.8500000000000001,1,29.964884433171765,0.03265570721667657,-0.11456067828175079,90,50,90
2026-06-07,EURUSD-OTC,call,v3_cooldown,win,0.8500000000000001,1,44.99192114139025,0.05657672588659181,0.0004504383710772804,75,25,75
2026-06-07,GBPUSD-OTC,call,v3_cooldown,win,0.8500000000000001,1,29.375913655266896,0.03292561062489096,-0.12410433713369066,90,50,90
2026-06-07,GBPUSD-OTC,call,v4_ema20,win,0.8500000000000001,1,29.865088027308495,0.03298006353813284,-0.11528647265848385,90,50,90
2026-06-07,GBPUSD-OTC,call,v4_ema20,win,0.8500000000000001,1,29.375913655266896,0.03292561062489096,-0.12410433713369066,90,50,90
2026-06-10,GBPUSD-OTC,put,v3_cooldown,loss,-1.0,0,62.558852022223085,0.036239764557096425,-0.0010945748524500336,25,75,75
2026-06-10,GBPUSD-OTC,put,v3_cooldown,loss,-1.0,0,58.79714235295391,0.03569618370002261,-0.02772305788639071,25,75,75
2026-06-10,GBPUSD-OTC,put,v4_ema20,loss,-1.0,0,58.79714235295391,0.03569618370002261,-0.02772305788639071,25,75,75
2026-06-10,GBPUSD-OTC,put,v4_ema20,loss,-1.0,0,62.558852022223085,0.036239764557096425,-0.0010945748524500336,25,75,75
2026-06-10,GBPUSD-OTC,put,v4_ema20,loss,-1.0,0,75.13948780630633,0.03861205126535038,0.18033618692340286,50,90,90
2026-06-10,EURUSD-OTC,call,v3_cooldown,win,0.8600000000000001,1,45.4497490011248,0.058552384309487226,0.01222471153077246,75,25,75
2026-06-11,GBPUSD-OTC,call,v4_ema20,win,0.8600000000000001,1,42.86757455710978,0.03807952684448084,0.003418322035942964,75,25,75
2026-06-11,GBPUSD-OTC,call,v3_cooldown,win,0.8600000000000001,1,42.86757455710978,0.03807952684448084,0.003418322035942964,75,25,75
2026-06-12,GBPUSD-OTC,call,v3_cooldown,win,0.8600000000000001,1,43.39526603421617,0.036286582574341836,0.00552163949989018,75,25,75
2026-06-12,EURUSD-OTC,put,v4_ema20,win,0.8500000000000001,1,55.593655130749404,0.05846899402569102,-0.0009724880495517631,25,75,75
2026-06-12,GBPUSD-OTC,call,v4_ema20,win,0.8600000000000001,1,43.39526603421617,0.036286582574341836,0.00552163949989018,75,25,75
2026-06-12,EURUSD-OTC,put,v3_cooldown,win,0.8500000000000001,1,55.593655130749404,0.05846899402569102,-0.0009724880495517631,25,75,75
