trade_date,setup_type,trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
2026-06-05,extreme_reversion,20,13,4,9,30.77,-5.6,-43.08,0.38
2026-06-05,extreme_reversion,21,11,7,4,63.64,1.95,17.73,1.49
2026-06-05,extreme_reversion,23,9,5,4,55.56,0.25,2.78,1.06
2026-06-06,balanced_rebound,0,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-06,balanced_rebound,2,6,6,0,100.0,5.16,86.0,0.0
2026-06-06,balanced_rebound,3,4,1,3,25.0,-2.14,-53.5,0.29
2026-06-06,balanced_rebound,4,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-06,balanced_rebound,5,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-06,balanced_rebound,6,8,6,2,75.0,3.16,39.5,2.58
2026-06-06,balanced_rebound,7,12,2,10,16.67,-8.26,-68.83,0.17
2026-06-06,balanced_rebound,8,4,2,2,50.0,-0.26,-6.5,0.87
2026-06-06,balanced_rebound,11,7,3,4,42.86,-1.39,-19.86,0.65
2026-06-06,balanced_rebound,12,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-06,balanced_rebound,13,2,2,0,100.0,1.74,87.0,0.0
2026-06-06,balanced_rebound,14,1,1,0,100.0,0.87,87.0,0.0
2026-06-06,balanced_rebound,17,8,7,1,87.5,5.02,62.75,6.02
2026-06-06,balanced_rebound,19,8,8,0,100.0,6.88,86.0,0.0
2026-06-06,balanced_rebound,20,8,3,5,37.5,-2.42,-30.25,0.52
2026-06-06,balanced_rebound,21,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-06,balanced_rebound,23,1,1,0,100.0,0.86,86.0,0.0
2026-06-06,extreme_reversion,2,12,7,5,58.33,1.02,8.5,1.2
2026-06-06,extreme_reversion,3,3,0,3,0.0,-3.0,-100.0,0.0
2026-06-06,extreme_reversion,4,3,1,2,33.33,-1.14,-38.0,0.43
2026-06-06,extreme_reversion,5,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-06,extreme_reversion,7,10,2,8,20.0,-6.26,-62.6,0.22
2026-06-06,extreme_reversion,8,8,4,4,50.0,-0.52,-6.5,0.87
2026-06-06,extreme_reversion,10,2,2,0,100.0,1.74,87.0,0.0
2026-06-06,extreme_reversion,11,8,4,4,50.0,-0.52,-6.5,0.87
2026-06-06,extreme_reversion,12,6,2,4,33.33,-2.26,-37.67,0.44
2026-06-06,extreme_reversion,13,3,3,0,100.0,2.61,87.0,0.0
2026-06-06,extreme_reversion,14,2,2,0,100.0,1.74,87.0,0.0
2026-06-06,extreme_reversion,16,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-06,extreme_reversion,17,6,2,4,33.33,-2.28,-38.0,0.43
2026-06-06,extreme_reversion,18,28,12,16,42.86,-4.68,-16.71,0.69
2026-06-06,extreme_reversion,19,28,10,18,35.71,-8.4,-30.0,0.51
2026-06-06,extreme_reversion,20,9,3,6,33.33,-3.42,-38.0,0.43
2026-06-06,extreme_reversion,23,2,2,0,100.0,1.72,86.0,0.0
2026-06-07,balanced_rebound,1,6,6,0,100.0,5.1,85.0,0.0
2026-06-07,balanced_rebound,2,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-07,balanced_rebound,4,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-07,balanced_rebound,6,10,8,2,80.0,4.8,48.0,3.4
2026-06-07,balanced_rebound,7,2,2,0,100.0,1.7,85.0,0.0
2026-06-07,balanced_rebound,9,9,1,8,11.11,-7.15,-79.44,0.11
2026-06-07,balanced_rebound,11,3,3,0,100.0,2.55,85.0,0.0
2026-06-07,balanced_rebound,12,4,2,2,50.0,-0.3,-7.5,0.85
2026-06-07,balanced_rebound,14,5,3,2,60.0,0.55,11.0,1.28
2026-06-07,balanced_rebound,15,7,7,0,100.0,5.95,85.0,0.0
2026-06-07,balanced_rebound,16,4,0,4,0.0,-2.0,-50.0,0.0
2026-06-07,balanced_rebound,17,5,5,0,100.0,4.25,85.0,0.0
2026-06-07,balanced_rebound,18,2,2,0,100.0,1.7,85.0,0.0
2026-06-07,balanced_rebound,20,6,1,5,16.67,-4.15,-69.17,0.17
2026-06-07,balanced_rebound,21,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-07,balanced_rebound,22,7,5,2,71.43,2.19,31.29,2.1
2026-06-07,extreme_reversion,0,6,2,4,33.33,-2.3,-38.33,0.43
2026-06-07,extreme_reversion,1,4,2,2,50.0,-0.3,-7.5,0.85
2026-06-07,extreme_reversion,2,2,1,1,50.0,-0.15,-7.5,0.85
2026-06-07,extreme_reversion,3,5,4,1,80.0,2.4,48.0,3.4
2026-06-07,extreme_reversion,5,6,4,2,66.67,1.4,23.33,1.7
2026-06-07,extreme_reversion,6,24,12,12,50.0,-1.8,-7.5,0.85
2026-06-07,extreme_reversion,8,2,2,0,100.0,1.7,85.0,0.0
2026-06-07,extreme_reversion,9,6,4,2,66.67,1.4,23.33,1.7
2026-06-07,extreme_reversion,10,1,1,0,100.0,0.85,85.0,0.0
2026-06-07,extreme_reversion,11,1,1,0,100.0,0.85,85.0,0.0
2026-06-07,extreme_reversion,12,2,2,0,100.0,1.7,85.0,0.0
2026-06-07,extreme_reversion,14,6,2,4,33.33,-2.3,-38.33,0.43
2026-06-07,extreme_reversion,15,3,3,0,100.0,2.55,85.0,0.0
2026-06-07,extreme_reversion,17,10,6,4,60.0,3.1,31.0,2.55
2026-06-07,extreme_reversion,20,1,1,0,100.0,0.85,85.0,0.0
