trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
0,28,15,13,53.57,-0.17,-0.61,0.99
1,39,21,18,53.85,0.01,0.03,1.0
2,39,14,25,35.9,-13.02,-33.38,0.48
3,51,16,35,31.37,-21.32,-41.8,0.39
4,37,21,16,56.76,2.07,5.59,1.13
5,26,13,13,50.0,-1.85,-7.12,0.86
6,35,20,15,57.14,2.1,6.0,1.14
7,47,24,23,51.06,-1.35,-2.87,0.94
8,12,4,8,33.33,-2.55,-21.25,0.58
9,57,25,32,43.86,-9.46,-16.6,0.69
10,29,15,14,51.72,-0.09,-0.31,0.99
11,25,12,13,48.0,-2.66,-10.64,0.8
12,38,19,19,50.0,-2.65,-6.97,0.86
13,26,12,14,46.15,-3.67,-14.12,0.74
14,52,24,28,46.15,-6.42,-12.35,0.76
15,44,22,22,50.0,-1.13,-2.57,0.94
16,45,26,19,57.78,5.44,12.09,1.32
17,45,30,15,66.67,9.85,21.89,1.66
18,38,20,18,52.63,-0.75,-1.97,0.96
19,40,22,18,55.0,1.92,4.8,1.11
20,34,16,18,47.06,-4.34,-12.76,0.76
21,29,10,19,34.48,-10.42,-35.93,0.45
22,16,10,6,62.5,2.41,15.06,1.4
23,30,16,14,53.33,-0.34,-1.13,0.98
