duration_bucket,trades,wins,losses,winrate,profit,roi,profit_factor
0-60,481,237,244,49.27,-36.46,-7.58,0.85
60-70,125,81,44,64.8,25.3,20.24,1.58
70-80,132,57,75,43.18,-23.01,-17.43,0.68
80+,124,52,72,41.94,-24.22,-19.53,0.65
